hour,alcohol_drug_crashes,avg_severity
0,205,0.541
3,155,0.471
1,151,0.662
22,142,0.648
2,138,0.58
23,131,0.595
4,131,0.511
21,116,0.621
20,109,0.872
19,104,0.615
