factor_group,total_crashes,avg_severity,severe_crashes,pct_severe
Failure to Yield,9003,0.958,6247,69.4
Speeding,3143,0.922,1606,51.1
Fatigue,517,0.66,215,41.6
Weather/Road,1151,0.613,478,41.5
Distraction,24692,0.612,10803,43.8
Alcohol/Drugs,1978,0.592,729,36.9
