borough,total_crashes,avg_severity,severe_crashes,pct_severe
BROOKLYN,28065,0.592,11817,42.1
QUEENS,20566,0.544,8129,39.5
MANHATTAN,15309,0.51,6131,40.0
BRONX,12077,0.602,4997,41.4
STATEN ISLAND,3184,0.497,1126,35.4
