hour,total_cyclist_injured,total_crashes,avg_cyclist_injured_per_crash
16,501,6248,0.0802
17,487,6186,0.0787
18,481,5639,0.0853
19,420,4914,0.0855
15,405,5975,0.0678
14,364,5739,0.0634
13,335,5032,0.0666
20,327,4421,0.074
21,304,4109,0.074
12,299,4906,0.0609
