num_vehicles,total_crashes,avg_severity,severe_crashes,pct_severe
1,34645,0.511,14368,41.5
2,58038,0.611,23880,41.1
3,5454,0.888,2652,48.6
4,1321,1.11,652,49.4
5,542,1.275,305,56.3
